Abkuerzung	Name	Beschreibung
Emsl	Emsland	Emsland d. h. die Kreise Lingen, Meppen, Aschendorf-Hümmling
HOsnabr	Hochstift Ösnabrück	das frühere Hochstift Osnabrück, vornehmlich die Kreise Osnabrück, Melle, Wittlage
HPaderb	Hochstift Paderborn	das frühere Hochstift Paderborn, d. h. die Kreise Paderborn, Büren, Warburg, Höxter
KSauerl	Kölnisches Sauerland	Kölnisches Sauerland, d. h. die Kreise Arnsberg, Olpe, Meschede, Brilon
Lip	Lippe	das frühere Land Lippe, d. h. die Kreise Detmold und Lemgo
Mark	Grafschaft Mark	die frühere Grafschaft Mark
Münsterl	Münsterland	Münsterland
Ravensbg	Grafschaft Ravensberg	die frühere Grafschaft Ravensberg
SOldbg	Südoldenburg	Südoldenburg, d. h. die Kreise Vechta und Cloppenburg (ohne das Saterland)
WMünsterl	Westmünsterland	Westmünsterland
